Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
1491,5.000000095,40.00999908,0,0,3.000000057,28.00000053,0,4.000000076,0,19.99000015,0,0,0,0,0,0.255
1496,9.799833523,0,0,0,0.001699971,0.00999983,0,30.46948111,0,59.71898557,0,0,0,0,0,0.255
1497,0,20.15999946,0,0,0,0,0,28.68999999,0,51.15000055,0,0,0,0,0,0.255
1498,0,3.279999872,6.969999578,0,7.569999942,0,0,3.429999962,0,74.30000079,0,0,0,4.269999851,0,0.2402965
1499,0,59.5,0,20,0,0,0,20,0,0,0,0,0,0,0,0.255
1500,0,71.05263158,0,0,0,0,0,23.68421053,5.263157895,0,0,0,0,0,0,0.254673
1501,12,24,0,0,0,16,0,0,0,48,0,0,0,0,0,0.254552
1502,0,34.48344797,0,0,0,0,0,31.03310407,0,34.48344797,0,0,0,0,0,0.254386
1504,0,46.88000107,0,0,0,0,0,10.43000031,0,42.68999863,0,0,0,0,0,0.2541
1505,0,0,0,0,22.5,0,0,0,0,77.5,0,0,0,0,0,0.254089
1506,12.02240483,6.711342245,1.360272056,5.281056373,0,0,5.321064336,0,0,66.01320203,0.070014002,3.220644128,0,0,0,0.254
1507,0,46.87215838,0,0,0,0,0,10.42950946,0,42.69833216,0,0,0,0,0,0.254
1508,11.10000045,17.60000049,0,3.119999905,0,0,2.049999965,0,0,60.93999902,0.070000001,5.110000166,0,0,0.01,0.254
1509,15.10000045,0,0,32.09999863,0,0,0,0,5.599999931,47.20000099,0,0,0,0,0,0.254
1510,0,0,0,0,21.40000003,0,0,0,0,78.59999997,0,0,0,0,0,0.251
1511,0,0,0,0,0,0,50,0,45,5,0,0,0,0,0,0.254
1512,0,0,0,0,17.99999974,0,0,0,0,76.40000043,0,5.599999825,0,0,0,0.254
1514,0,0,0,12.5,0,0,37.5,0,50,0,0,0,0,0,0,0.254
1516,4,29,0,0,3,26,0,4,0,29,0,5,0,0,0,0.254
1518,0,35,0,0,0,15,0,25,25,0,0,0,0,0,0,0.254
1520,0,0,0,0,16.79999908,0,0,0,0,71.40000084,0,11.80000008,0,0,0,0.254
1522,0,0,0,22.5,0,0,0,22.5,0,55,0,0,0,0,0,0.254
1526,45,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.254
1527,0,55,0,0,0,25,0,0,0,0,0,0,0,20,0,0.254
1528,0,0,0,20,0,0,2,2,0,76,0,0,0,0,0,0.254
1529,0,46.66999906,0,0,0,0,0,23.33000037,0,30.00000057,0,0,0,0,0,0.254
1530,0,0,0,0,0,0,0,29.44999964,0,70.55000036,0,0,0,0,0,0.254
1533,10,0,0,0,0,0,30,0,0,60,0,0,0,0,0,0.254
1534,25,0,5,5,0,0,5,0,0,60,0,0,0,0,0,0.254
1537,0,0,0,0,0,0,0,29.03000013,0,70.96999987,0,0,0,0,0,0.254
1539,4,29.01000023,5,0,3,25.98999977,0,4,0,29,0,0,0,0,0,0.254
1540,4.112977944,0,0,7.205442311,14.40057715,0,7.205442311,0,66.86939597,0,0,0,0,0,0,0.254
1541,3.539716824,21.49828038,22.38820858,0,0,0,0,0,0,52.22582206,0,0,0,0,0,0.254
1542,0,0,0,0,0,0,14.2900001,28.56999997,0,57.13999993,0,0,0,0,0,0.253817
1543,12,32,0,0,0,0,0,16,0,40,0,0,0,0,0,0.253695
1545,7.810000017,0,0,27.18000057,0,0,5.07000022,0,0,59.9399992,0,0,0,0,0,0.253
1546,0,0,0,0,0,0,0,0,43.68000031,0,0,0,0,56.31999969,0,0.253
1547,0,0,0,0,0,0,48.75,0,48.75,2.5,0,0,0,0,0,0.253
1548,16.62000044,11.10999939,0,0,10.90999959,0,6.309999792,13.3100001,0,41.74000068,0,0,0,0,0,0.253
1550,0,0,0,0,0,0,0,33,0,67,0,0,0,0,0,0.250333333
1553,10.60000058,0,0,0,0,0,0,37.09999918,0,52.30000023,0,0,0,0,0,0.253
